,0
1996,1
1997,1
1998,2
1999,1
2000,4
2001,1
2002,2
2003,2
2004,2
2005,2
2006,2
2007,2
2008,3
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2016,3
2017,1
2018,2
2019,4
2020,1
2021,1
2022,3
2023,1
2024,4
2025,2
2026,3
2027,1
2028,2
2029,1
2030,2
2031,1
2032,1
2033,2
2034,1
2035,2
2036,3
2037,3
2038,2
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,11
2057,3
2058,1
2059,1
2060,2
2061,1
2062,1
2063,1
2064,1
2065,5
2066,1
2067,1
2068,5
2069,1
2070,1
2071,1
2072,1
2073,2
2074,4
2075,1
2076,1
2077,1
2078,1
2079,5
2080,1
2081,2
2082,2
2083,2
2084,2
2085,2
2086,2
2087,1
2088,5
2089,2
2090,2
2091,2
2092,2
2093,2
2094,2
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,1
2120,2
2121,1
2122,1
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2132,2
2133,2
2134,2
2135,2
2136,1
2137,1
2138,2
2139,1
2140,2
2141,2
2142,1
2143,1
2144,2
2145,1
2146,1
2147,1
2148,1
2149,2
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,1
2159,3
2160,6
2161,4
2162,2
2163,4
2164,2
2165,4
2166,5
2167,1
2168,1
2169,2
2170,1
2171,3
2172,3
2173,2
2174,1
2175,1
2176,1
2177,1
2178,2
2179,1
2180,1
2181,1
2182,1
2183,1
2184,3
2185,2
2186,2
2187,1
2188,1
2189,1
2190,1
2191,1
2192,2
2193,1
2194,1
2195,2
2196,2
2197,1
2198,1
2199,2
2200,2
2201,2
2202,1
2203,2
2204,2
2205,1
2206,2
2207,1
2208,1
2209,2
2210,2
2211,1
2212,1
2213,1
2214,1
2215,1
2216,2
2217,1
2218,2
2219,2
2220,2
2221,2
2222,2
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,3
2230,1
2231,1
2232,3
2233,1
2234,2
2235,3
2236,2
2237,1
2238,1
2239,2
2240,3
2241,1
2242,1
2243,3
2244,2
2245,1
2246,2
2247,2
2248,2
2249,3
2250,2
2251,1
2252,1
2253,2
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,2
2267,2
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,12
2276,1
2277,2
2278,2
2279,2
2280,5
2281,2
2282,1
2283,1
2284,5
2285,3
2286,6
2287,2
2288,4
2289,2
2290,5
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,7
2298,4
2299,2
2300,2
2301,2
2302,2
2303,2
2304,2
2305,2
2306,2
2307,2
2308,2
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,3
2319,3
2320,1
2321,1
2322,1
2323,1
2324,1
2325,2
2326,1
2327,1
2328,1
2329,1
2330,1
2331,5
2332,2
2333,2
2334,2
2335,1
2336,2
2337,3
2338,4
2339,2
2340,2
2341,2
2342,2
2343,3
2344,4
2345,5
2346,2
2347,2
2348,2
2349,2
2350,2
2351,2
2352,2
2353,1
2354,1
2355,1
2356,1
2357,3
2358,1
2359,1
2360,1
2361,1
